網址,標題
https://crazy.ck101.com/post/13697,國民黨選舉主打重罰酒駕，結果肇逃還找助理頂罪
https://crazy.ck101.com/post/13696,美國NASA認證「人一藍、腦就殘」
https://crazy.ck101.com/post/13692,外國男子停紅燈吃腳吃到忘我
https://crazy.ck101.com/post/13691,決定不再跟父母要錢   但先要一台BMW開計程車
https://crazy.ck101.com/post/13685,建商小開，到處作惡
https://crazy.ck101.com/post/13684,上狄卡找鄉民想辦法隱瞞戴男友綠帽的事實？
https://crazy.ck101.com/post/13683,曾罵柯P呷賽　時代力量林昶佐：因「兩岸一家親」就說柯P是統派不公平
https://crazy.ck101.com/post/13673,高雄小妹為了朋友出口氣到處翻群甚至盜照
https://crazy.ck101.com/post/13672,乘客因血糖太低在公車上吃糖 白髮阿伯氣到趕她下車？！
https://crazy.ck101.com/post/13667,嗆鄭問憑啥進故宮辦展！粉絲怒吼要謝金河妻道歉
https://crazy.ck101.com/post/13665,【基本工資調漲】月薪23100元僅增5％　勞方一度集體離席抗議
https://crazy.ck101.com/post/13662,北七民眾投訴救護車吵到小孩
https://crazy.ck101.com/post/13659,華山分屍案找到不明DNA  結果人體組織變牛肉???
https://crazy.ck101.com/post/13653,歌手喊全場跳起來 西班牙音樂節看台塌陷
https://crazy.ck101.com/post/13651,【蚊子豪宅】瓏山林信義鬧區藏荒樓　完工7年黑漆漆
https://crazy.ck101.com/post/13650,兩則狂新聞素材提供
https://crazy.ck101.com/post/13648,35周孕婦衝急診遭嗆　屏東寶建醫院道歉：醫師應答會加強
https://crazy.ck101.com/post/13645,颱風天94要泛舟 大雨一來 台灣大道變運河了
https://crazy.ck101.com/post/13643,量大不處理就偷排？　議員揪高雄鳳山污水廠排黑水
https://crazy.ck101.com/post/13641,黑心！桃園發霉長蟲蛋液流入桃竹苗　檢方急扣2萬6千公斤壞蛋
https://crazy.ck101.com/post/13639,法律系畢業　經營地下錢莊坑缺錢婦
https://crazy.ck101.com/post/13629,不怕晚上被水鬼煮來吃? 國軍山羊站崗
https://crazy.ck101.com/post/13628,這幾天被炒很兇的全聯廣告...
https://crazy.ck101.com/post/13623,佩佩豬活了
https://crazy.ck101.com/post/13622,我以為最近不正常的只有姚姚跟丁丁
https://crazy.ck101.com/post/13621,阿公有搖滾魂 逃家只為了參加音樂祭
https://crazy.ck101.com/post/13620,生達降血壓藥原料含致癌NDMA　珠海潤都：低於歐洲參考限定值0.3ppm
https://crazy.ck101.com/post/13618,鄰長  不修監視器多年  原來是為了方便偷東西 老賊偷了十年有
https://crazy.ck101.com/post/13617,就結果論而言 她是成功的
https://crazy.ck101.com/post/13612,33歲人妻偷吃國中生　車震玩遍摩鐵挨告性侵
https://crazy.ck101.com/post/13603,高雄團購名店春鑫食品驚傳倒閉　廠商討嘸2百萬貨款
https://crazy.ck101.com/post/13601,潑漆浪費錢？蔡丁貴：維護銅像花更多
https://crazy.ck101.com/post/13598,悉尼Chatswood 1503北雪梨靈糧堂教會與Chatswood 沙拉工廠聯合起來一起欺騙、隱瞞一人
https://crazy.ck101.com/post/13597,〈南山人壽內控缺失〉操盤手炒股案後續 顧立雄：南山自認無涉內稽內控
https://crazy.ck101.com/post/13596,金檢期間竟偷刪電郵資料　金管會震怒罰富邦人壽逾千萬
https://crazy.ck101.com/post/13595,侯探長不只會節稅跟通靈，直接自曝還會騷擾小朋友
https://crazy.ck101.com/post/13593,[行車紀錄器]這個操作，我給100分
https://crazy.ck101.com/post/13592,美麗島民調：46%民眾贊成蔡英文承認一中與中國談判
https://crazy.ck101.com/post/13586,果真是見過地獄的男人！侯友宜觀落陰找岳父聊天
https://crazy.ck101.com/post/13584,窮人無知媒體帶風向！一萬五千美金頭等艙沒過生日被批奧客
https://crazy.ck101.com/post/13582,空姐沒幫他過生日 頭等艙乘客森77大哭
https://crazy.ck101.com/post/13580,你484手機上癮？小偷連不上wifi 叫醒屋主立馬被抓～
https://crazy.ck101.com/post/13567,手機維修後8個月有問題 拿球棒打人嗆聲免費維修
https://crazy.ck101.com/post/13565,奧迪業務拍攝客戶美腿，官方稱已事先徵得客戶同意
https://crazy.ck101.com/post/13563,高雄市藥局女員工假冒藥師賣藥　衛生局：最高罰30萬
https://crazy.ck101.com/post/13562,網爆經營不善跳票2.8億　高雄河邊餐廳遭員工控欠薪
https://crazy.ck101.com/post/13560,好瞎把妹！ 朋友女友愛吃蝦男失手毒死300尾
https://crazy.ck101.com/post/13559,澎湖油庫離譜漏油6.3萬公升瞞1年 中油今提懲處名單
https://crazy.ck101.com/post/13558,【名人官司】李進良告徐薇夫　騙買南韓Medikan非法醫材求償2588萬
https://crazy.ck101.com/post/13557,政府要管刺青了！不知風險染病可依法討公道
https://crazy.ck101.com/post/13554,時代力量戰神聲援她槓屏東縣政府　蔣月惠擁抱黃國昌道謝
https://crazy.ck101.com/post/13552,林育卉:羅騰園未立案觸法　蔣月惠：想把身障者當家人
https://crazy.ck101.com/post/13550,〈保單健檢攻略〉DRGs健保新制上路 自費額將增加 實支實付要加入
https://crazy.ck101.com/post/13546,蔣月惠警局驚天一哭　潘孟安控：她通知記者去拍
https://crazy.ck101.com/post/13545,【名牌燒貨】卡地亞萬寶龍年毀172億名錶　 滯銷品寧丟棄
https://crazy.ck101.com/post/13544,打籃球被犯規　美國男子堅持報警
https://crazy.ck101.com/post/13540,男為求刺青藝術感自宮
https://crazy.ck101.com/post/13537,【屏東縣長出面】公勇路拆遷變大埔案翻版　潘孟安「很遺憾」
https://crazy.ck101.com/post/13525,炸彈魔歐? 旅歐女子攜二戰炸彈登機返美
https://crazy.ck101.com/post/13521,【裝肖維】露臉嗆聲館長！高雄南霸天竟扯：是朋友盜帳號
https://crazy.ck101.com/post/13517,蠢？想當警察還改名叫警察卻吸毒被逮
https://crazy.ck101.com/post/13516,唱太嗨！女主唱鑽透明巨球　歌迷一路目送滾出外海...
https://crazy.ck101.com/post/13515,李來希縮衣節食4菜1湯 網友：以前吃鮑魚？
https://crazy.ck101.com/post/13513,台大天才手球隊輕敵力拼中華台北代表隊
https://crazy.ck101.com/post/13512,趕百大DJ下台！刑警衝上台蒐證???
https://crazy.ck101.com/post/13505,【更新】逆轉！不出席民進黨全代會　陳水扁：盼蔡主席別放棄我
https://crazy.ck101.com/post/13500,中國拒收之後 美國垃圾堆成了山
https://crazy.ck101.com/post/13494,別以貌取蟲！喇牙出沒住家覓食　「蟑螂剋星」幫人類殺害蟲
https://crazy.ck101.com/post/13490,【噁爆片】大媽脫衣跳池「水柱灌鮑魚」
https://crazy.ck101.com/post/13488,颱風天上演紫禁之巔
https://crazy.ck101.com/post/13487,大賣場看A片  中學生狂磨桌角
https://crazy.ck101.com/post/13486,用陰道求婚  英國女慘進急診室
https://crazy.ck101.com/post/13484,逢甲屁孩超高水準丟垃圾
https://crazy.ck101.com/post/13482,某個新兵發文說:槍要自己帶嗎？
https://crazy.ck101.com/post/13478,​影／下午4點放假！　呂秋遠：史上最短颱風假是什麼鬼？
https://crazy.ck101.com/post/13471,藍寶堅尼「晨跑」奪2命　富少姑姑：政府需負點責任
https://crazy.ck101.com/post/13470,年薪900萬不去訓練腦袋，藍立委找館長練拳打人
https://crazy.ck101.com/post/13467,是工人智慧而非人工智慧，多家新創公司被爆用真人假扮成 AI
https://crazy.ck101.com/post/13466,國民黨想複製柯P失敗，李錫錕欠60萬跟小編互槓
https://crazy.ck101.com/post/13464,棄藥催生超級細菌 亂丟污染河川 驗出22種藥品
https://crazy.ck101.com/post/13458,桃園市龍潭區某台塑加油站員工集體離職爆料
https://crazy.ck101.com/post/13455,中國新聞：中國鳳梨滯銷，是台灣品種惹的禍？
https://crazy.ck101.com/post/13451,加拿大鴛鴦笨賊 鑽天花板躲警竟從天而降
https://crazy.ck101.com/post/13449,公務員響應李來希三不運動，退休人員個資撒給他滿天飛
https://crazy.ck101.com/post/13446,街頭驚見黑道相挺旗幟，侯友宜急切割沒有聯繫
https://crazy.ck101.com/post/13444,鳳梨價崩　高雄內門老農訴「拿錢放人」乾脆爛田裡
https://crazy.ck101.com/post/13442,只會講幹話的假環團???
https://crazy.ck101.com/post/13437,學郝龍斌「三度  早就想」？侯友宜這次推給幕僚不給說明
https://crazy.ck101.com/post/13430,今日天氣／中、南部及宜花東高溫約在 30 至 34 度，北部約 35 度
https://crazy.ck101.com/post/13429,【獨家】第三家醫院出包！成大醫院洗腎誤用漂白水
https://crazy.ck101.com/post/13427,聯合重工再現假新聞！假農民抗議鳳梨被打臉
https://crazy.ck101.com/post/13425,炎亞綸誇張歧視言論
https://crazy.ck101.com/post/13424,北捷破案！害700人潰逃的老鼠　來自大安森林公園
https://crazy.ck101.com/post/13422,"台灣藝人不滿NBA球星轉隊 屌嗆""沒技巧的大猩猩"""
https://crazy.ck101.com/post/13417,替4大殺人魔辯護原因 律師這樣說
https://crazy.ck101.com/post/13416,【獨家】海軍流年不利　新訓中心驚爆喝花酒又貪瀆
